gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
CAND1,0.855,0.842,,0.589,,,,,0.987,0.423,,0.942,,,,0.473,,4.73e-22,9.02e-07,0.999
CIP2A,0.499,,,0.13,,,,,0.809,,,0.434,,,,,,0.264,,0.622
AMBRA1,0.229,,,0.0101,,,,,0.996,,,0.819,,,,,,4.11e-07,,0.984
FANCL,0.472,,,0.693,0.111,,0.204,0.0274,0.503,,0.342,0.557,0.321,0.025,0.664,,0.497,0.341,,0.793
PARP1,0.467,,,0.0236,0.00294,,1.0,0.796,0.962,,0.615,0.641,0.0469,1.0,0.721,,0.507,0.147,,0.554
FANCM,0.792,,,0.808,0.000613,,0.258,0.16,0.932,,0.374,0.497,0.0207,0.165,0.438,,0.2,0.265,,0.559
FAAP24,0.492,0.567,,0.495,0.0133,,0.198,0.122,0.46,0.614,0.357,0.552,0.0606,0.0699,0.495,0.156,0.167,0.235,0.521,0.2
FANCA,0.411,,,0.876,0.0112,,0.258,0.0654,0.535,,0.443,0.552,0.0769,0.0736,0.621,,0.36,0.741,,0.754
FANCC,0.0766,,,0.464,0.0775,,0.321,0.1,0.751,,0.775,0.559,0.146,0.0948,0.668,,0.493,0.366,,0.416
FANCG,0.785,,,0.0401,0.0826,,0.673,0.0383,0.543,,0.242,0.528,0.505,0.373,0.819,,0.762,0.95,,0.802
TMED10,0.692,,,0.575,,,,,0.977,,,0.294,,,,,,0.162,,0.567
