gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
CAND1,0.145,0.158,,0.411,,,,,0.0126,0.577,,0.0579,,,,0.527,,1.0,1.0,0.000747
CIP2A,0.501,,,0.87,,,,,0.191,,,0.566,,,,,,0.736,,0.378
AMBRA1,0.771,,,0.99,,,,,0.0045,,,0.181,,,,,,1.0,,0.016
FANCL,0.528,,,0.307,0.889,,0.796,0.973,0.497,,0.658,0.443,0.679,0.975,0.336,,0.503,0.659,,0.207
PARP1,0.533,,,0.976,0.997,,0.00025,0.204,0.0383,,0.385,0.359,0.953,7.04e-10,0.279,,0.493,0.853,,0.446
FANCM,0.208,,,0.192,0.999,,0.742,0.84,0.0676,,0.626,0.503,0.979,0.835,0.562,,0.8,0.735,,0.441
FAAP24,0.508,0.433,,0.505,0.987,,0.802,0.878,0.54,0.386,0.643,0.448,0.939,0.93,0.505,0.844,0.833,0.765,0.479,0.8
FANCA,0.589,,,0.124,0.989,,0.742,0.935,0.465,,0.557,0.448,0.923,0.926,0.379,,0.64,0.259,,0.246
FANCC,0.923,,,0.536,0.923,,0.679,0.9,0.249,,0.225,0.441,0.854,0.905,0.332,,0.507,0.634,,0.584
FANCG,0.215,,,0.96,0.917,,0.327,0.962,0.457,,0.758,0.472,0.495,0.627,0.181,,0.238,0.0497,,0.198
TMED10,0.308,,,0.425,,,,,0.0232,,,0.706,,,,,,0.838,,0.433
RNASEH2B,0.623,,,0.686,0.843,,0.545,0.659,0.0171,,0.991,0.454,0.506,0.903,0.288,,0.334,1.0,,0.566
UBE2M,0.0902,,,0.88,,,,,0.000403,,,0.861,,,,,,1.0,,0.279
FANCB,0.624,,,0.181,0.978,,0.454,0.805,0.109,,0.678,0.389,0.712,0.891,0.175,,0.365,0.269,,0.547
NF2,0.0267,4.73e-05,,0.918,,,,,0.315,0.0135,,0.00012,,,,0.0006,,0.873,1.0,1.16e-05
FANCF,0.801,,,0.485,0.999,,0.994,1.0,0.913,,0.522,0.459,0.963,1.0,0.38,,0.564,0.155,,0.552
NBN,0.398,0.265,,0.894,0.655,,0.506,0.171,0.149,0.356,0.669,0.513,0.511,0.749,0.311,0.436,0.412,0.425,0.866,0.565
AUNIP,0.876,,,0.357,,,,,0.0381,,,0.452,,,,,,0.418,,0.59
BLM,0.625,,,0.294,0.488,,0.539,0.957,0.00879,,0.207,0.408,0.688,0.338,0.66,,0.749,1.0,,0.527
CHD1L,0.506,0.377,0.987,0.439,,1.0,,,0.213,0.402,,0.361,,,,0.333,,0.705,0.55,0.321
RMI2,0.878,,,0.127,0.911,,0.453,0.862,0.774,,0.698,0.344,0.804,0.398,0.443,,0.781,0.996,,0.42
XRCC1,0.36,0.494,,0.578,0.966,,0.804,0.17,0.000205,0.427,0.686,0.353,0.863,0.984,0.273,0.936,0.593,0.997,0.453,0.689
INTS10,0.0565,,,0.973,,,,,3.52e-05,,,0.889,,,,,,0.657,,0.23
INTS14,0.46,,,0.862,,,,,0.0194,,,0.671,,,,,,0.393,,0.176
TAOK1,0.737,0.00211,,0.929,,,,,0.489,0.00326,,0.0335,,,,0.00509,,1.0,0.761,0.000506
AHR,0.453,,,0.841,,,,,0.954,,,0.00162,,,,,,0.869,,0.000361
GABRA3,0.106,,,0.422,,,,,0.914,,,0.24,,,,,,0.44,,0.274
RMI1,0.0811,,,0.222,0.741,,0.426,0.892,0.00649,,0.503,0.537,0.589,0.305,0.567,,0.49,0.918,,0.618
FANCD2,0.98,,,0.587,0.99,,0.79,0.966,0.378,,0.388,0.506,0.956,0.926,0.348,,0.68,0.488,,0.771
CYRIB,0.0231,,,0.181,,,,,0.0645,,,0.196,,,,,,1.0,,0.00425
FANCI,0.514,,,0.15,0.875,,0.631,0.964,0.226,,0.843,0.398,0.572,0.919,0.354,,0.379,0.953,,0.0537
WDR48,0.944,,,0.625,0.6,,0.608,0.757,0.931,,0.177,0.448,0.54,0.756,0.257,,0.336,0.251,,0.455
KCTD17,0.0963,,,0.157,,,,,0.638,,,0.494,,,,,,0.266,,0.443
APEX1,0.886,,,0.054,0.4,,0.0876,0.4,0.153,,0.373,0.32,0.312,0.0158,0.292,,0.305,0.952,,0.524
FAAP100,0.606,0.48,,0.65,0.973,,0.91,0.988,0.151,0.628,0.689,0.35,0.907,0.99,0.361,0.367,0.771,0.227,0.886,0.683
C7orf26,0.793,0.796,,,,,,,,0.862,,,,,,0.0774,,0.00314,0.46,0.941
C16orf72,0.0727,,,,,,,,,,,,,,,,,1.0,,0.0781
EXOC5,0.866,,,0.856,,,,,0.116,,,0.916,,,,,,0.309,,0.979
PPP1R12A,0.964,,,0.377,,,,,0.00507,,,0.991,,,,,,0.99,,1.0
CAB39,0.373,,,0.751,,,,,0.0372,,,0.0569,,,,,,1.0,,0.000281
CUL3,0.368,0.000644,,0.351,0.178,,0.541,0.62,3.07e-05,0.0476,0.653,0.427,0.523,0.601,0.239,8.6e-07,0.875,1.0,1.0,0.143
EXT1,1.0,,,0.891,,,,,0.458,,,0.396,,,,,,0.99,,0.191
COPS8,0.817,,,0.962,,,,,0.0604,,,0.949,,,,,,0.998,,0.814
RAD18,0.439,,,0.101,0.792,,0.256,0.968,0.000472,,0.483,0.378,0.488,0.603,0.271,,0.411,0.956,,0.411
RNASEH2A,0.704,,,0.864,,,,,0.000629,,,0.544,,,,,,1.0,,0.666
RAP2B,0.358,,,0.0859,,,,,0.787,,,0.249,,,,,,0.724,,0.228
COPS4,0.0479,,,0.185,,,,,0.0474,,,0.965,,,,,,1.0,,0.733
HELQ,0.986,,,0.338,0.863,,0.549,0.999,0.788,,0.453,0.44,0.544,0.876,0.327,,0.247,0.521,,0.382
APEX2,0.261,,,0.979,0.308,,0.881,0.0556,3.54e-05,,0.683,0.861,0.237,0.723,0.586,,0.356,0.759,,0.631
ETAA1,0.977,,,0.809,1.0,,0.748,0.999,0.159,,0.998,0.698,0.898,0.915,0.403,,0.363,0.952,,0.143
EP300,0.681,0.191,0.25,0.379,,0.934,,,0.0311,0.208,,0.514,,,,0.685,,0.213,0.765,0.395
IRF2,0.466,,,0.579,,,,,0.0247,,,0.189,,,,,,0.911,,0.459
TRAIP,0.151,,,0.365,,,,,0.00596,,,0.977,,,,,,0.938,,0.998
DDIAS,0.503,,,0.529,,,,,0.274,,,0.388,,,,,,0.0384,,0.725
EXO1,0.0182,,,0.651,0.46,,0.448,0.39,3e-05,,0.854,0.325,0.349,0.794,0.206,,0.319,0.852,,0.514
DSCC1,0.362,,,0.703,,,,,0.00202,,,0.757,,,,,,1.0,,0.804
NRP1,0.0299,,,0.558,,,,,0.0665,,,0.0397,,,,,,0.295,,0.0821
UBE2H,0.388,,,0.973,,,,,0.985,,,0.737,,,,,,0.199,,0.746
GABPB1,0.605,,,0.29,,,,,0.00696,,,0.866,,,,,,0.952,,0.967
TMED2,0.33,,,0.987,,,,,0.00237,,,0.787,,,,,,0.846,,0.393
RNF215,0.568,0.185,,0.558,,,,,0.255,0.182,,0.511,,,,0.406,,0.0932,0.566,0.675
COPS3,0.986,,,0.682,,,,,0.0804,,,0.984,,,,,,0.996,,0.923
PDCD10,0.309,0.0226,,0.998,,,,,0.986,0.027,,0.0419,,,,0.153,,1.0,0.76,0.000851
SLC25A28,0.904,,,0.292,,,,,0.0301,,,0.936,,,,,,0.742,,0.949
LMNB1,0.338,,,0.996,,,,,0.781,,,0.962,,,,,,0.997,,0.82
THSD4,0.412,,,0.263,,,,,0.851,,,0.32,,,,,,0.707,,0.416
