id,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
HSCB,0.77627,,,0.453,,,,,0.98861,,,1.9469e-05,,,,,,0.21694,,2.7589e-07
RPL8,,,,0.30485,0.66981,,0.0021193,0.57735,0.98033,,0.99253,6.3067e-06,4.4669e-05,0.86304,4.9633e-06,,1.489e-05,0.76852,,2.7589e-07
PSMA5,0.83562,0.00011593,,0.81131,,,,,0.34285,0.0008303,,1.9194e-06,,,,0.3022,,0.28433,0.20316,2.7589e-07
TUBB,,3.1332e-06,,0.10335,,,,,0.99056,3.1332e-06,,5.2922e-05,,,,0.0063134,,0.1256,0.016381,1.3794e-06
FARSA,0.18497,,,0.011616,,,,,0.37225,,,0.0010148,,,,,,0.05233,,2.7589e-07
ATP2A2,,,,0.97528,,,,,0.95797,,,2.742e-07,,,,,,0.14002,,4.1383e-06
POLR2E,0.51735,,,0.53265,0.31558,,0.010299,0.44744,0.99938,,0.97947,5.2099e-06,0.010358,0.66416,0.0055539,,0.0010969,0.3829,,2.7589e-07
PCNA,,,0.85727,0.24241,0.74297,0.19706,4.9633e-06,0.43937,0.42413,,0.99249,1.9194e-06,2.4816e-05,0.0012359,4.9633e-06,,8.4376e-05,0.11246,,2.014e-05
RTCB,0.6344,,,0.49734,,,,,0.98188,,,1.371e-06,,,,,,,,2.7589e-07
NARS1,0.60399,3.1332e-06,,0.32996,,,,,0.93398,2.1933e-05,,7.9519e-06,,,,0.017355,,0.29863,0.49158,2.7589e-07
SMC2,0.19091,,,0.85974,,,,,0.89258,,,0.00087992,,,,,,,,8.2766e-07
RCC1,0.99025,,,0.83843,0.63047,,0.059604,0.38109,0.99989,,0.90262,3.5647e-06,0.0025462,0.59109,0.070821,,0.0066855,0.029321,,2.7589e-07
CDC16,0.11019,,,0.23835,0.5792,,0.094148,0.099717,0.99657,,0.70928,3.7292e-05,0.038629,0.9732,0.0027943,,0.052189,0.017077,,0.00017739
SPOUT1,0.21391,,,0.22046,,,,,0.99864,,,1.371e-06,,,,,,0.86167,,1.3794e-06
TCP1,0.43638,,,0.15325,,,,,0.25723,,,1.371e-06,,,,,,0.90831,,1.9312e-06
NUP205,0.24197,,,0.47345,,,,,0.22179,,,6.1696e-05,,,,,,0.58086,,4.0003e-05
PSMA7,0.18012,,,0.85423,0.37427,,0.0028837,0.79986,0.77036,,0.92586,0.00028764,9.4302e-05,0.92243,4.9633e-06,,3.4743e-05,0.99196,,2.7589e-07
NCBP1,0.75101,,,0.15886,,,,,0.68642,,,7.4858e-05,,,,,,0.12221,,4.1383e-06
DHX15,0.26689,,,0.40484,0.02639,,0.015282,0.47805,0.05142,,0.61978,5.2099e-06,0.00063034,0.83306,4.9633e-06,,0.0016627,0.96983,,8.2766e-07
VHL,0.034864,,,0.48139,,,,,0.61193,,,4.1953e-05,,,,,,0.9143,,6.8971e-06
HSPA9,0.44009,,,0.98587,,,,,0.40869,,,4.6615e-06,,,,,,0.99283,,2.7589e-07
RPL38,0.30386,0.00261,,0.082586,,,,,0.77833,0.012918,,6.8551e-06,,,,0.030721,,0.0021747,0.95233,1.9312e-06
UBA2,0.38671,0.00082404,,0.036841,,,,,0.79435,0.00078644,,0.00021964,,,,0.43026,,0.16641,0.79037,1.9312e-06
TBCA,0.39985,,,0.34303,,,,,0.33146,,,0.0037552,,,,,,0.0068038,,8.2766e-07
SEC61A1,0.31707,4.6998e-05,,0.16667,,,,,0.426,0.00051072,,0.0010672,,,,0.79033,,0.97839,0.5704,2.014e-05
ARFRP1,0.10291,0.00044178,,0.65026,,,,,0.73885,0.00089924,,0.00029696,,,,0.5147,,0.50948,0.8522,2.7589e-07
XRCC3,0.87751,0.00016606,,0.44961,0.00085865,,0.000541,0.10996,0.99396,0.00070498,0.93637,0.003645,3.4743e-05,0.069163,0.022786,0.14544,0.0035487,0.1446,0.43556,1.1311e-05
SUPT16H,0.90988,0.00052951,,0.3525,,,,,0.74054,0.0014382,,6.3067e-06,,,,0.13422,,0.043804,0.41492,0.00020057
