gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
CAND1,1.06,1.0,,0.22,,,,,2.24,-0.19,,1.57,,,,-0.07,,-9.58,-4.77,3.18
CIP2A,-0.0,,,-1.13,,,,,0.87,,,-0.17,,,,,,-0.63,,0.31
AMBRA1,-0.74,,,-2.32,,,,,2.61,,,0.91,,,,,,-4.93,,2.14
FANCL,-0.07,,,0.51,-1.22,,-0.83,-1.92,0.01,,-0.41,0.14,-0.46,-1.96,0.42,,-0.01,-0.41,,0.82
PARP1,-0.08,,,-1.98,-2.75,,3.48,0.83,1.77,,0.29,0.36,-1.68,6.05,0.59,,0.02,-1.05,,0.14
FANCM,0.81,,,0.87,-3.23,,-0.65,-0.99,1.49,,-0.32,-0.01,-2.04,-0.97,-0.16,,-0.84,-0.63,,0.15
FAAP24,-0.02,0.17,,-0.01,-2.22,,-0.85,-1.16,-0.1,0.29,-0.37,0.13,-1.55,-1.48,-0.01,-1.01,-0.97,-0.72,0.05,-0.84
FANCA,-0.23,,,1.15,-2.28,,-0.65,-1.51,0.09,,-0.14,0.13,-1.43,-1.45,0.31,,-0.36,0.65,,0.69
FANCC,-1.43,,,-0.09,-1.42,,-0.46,-1.28,0.68,,0.76,0.15,-1.05,-1.31,0.43,,-0.02,-0.34,,-0.21
FANCG,0.79,,,-1.75,-1.39,,0.45,-1.77,0.11,,-0.7,0.07,0.01,-0.32,0.91,,0.71,1.65,,0.85
