id,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
HSCB,0.99971,,,0.997062,,,,,0.390055,,,0.001446,,,,,,1.0,,0.000381
RPL8,,,,0.99114,0.999995,,0.030465,0.999995,0.592409,,0.112879,0.000785,0.002568,0.999995,0.000176,,0.001142,1.0,,0.000381
PSMA5,0.973541,0.001665,,0.999227,,,,,0.99792,0.008199,,0.000423,,,,0.984008,,1.0,0.999997,0.000381
TUBB,,9.7e-05,,0.980903,,,,,0.234637,0.000124,,0.002386,,,,0.334623,,0.96025,0.369519,0.000806
FARSA,0.979467,,,0.958033,,,,,1.0,,,0.017788,,,,,,0.859992,,0.000381
ATP2A2,,,,0.759416,,,,,0.894568,,,0.000381,,,,,,0.969623,,0.001259
POLR2E,0.98551,,,0.999227,0.999995,,0.077663,0.999995,0.134362,,0.026027,0.000702,0.060719,0.999995,0.039305,,0.010512,1.0,,0.000381
PCNA,,,0.975565,0.99114,0.999995,0.552819,0.000761,0.999995,0.824826,,0.095024,0.000423,0.002568,0.013866,0.000176,,0.002552,0.954759,,0.003037
RTCB,0.99971,,,0.994414,,,,,0.721903,,,0.000399,,,,,,,,0.000381
NARS1,0.892104,9.7e-05,,0.99114,,,,,0.433265,0.00063,,0.000855,,,,0.571732,,1.0,0.638036,0.000381
SMC2,0.979467,,,0.999227,,,,,0.999991,,,0.015854,,,,,,,,0.000806
