id,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
HSCB,0.12457,,,-0.42832,,,,,1.6791,,,-1.9779,,,,,,-0.36635,,-7.5097
RPL8,,,,-0.43234,0.20183,,-1.3179,-0.35521,1.7069,,0.32196,-4.4801,-2.2822,-0.0042436,-1.3681,,-2.1131,0.22448,,-6.8507
PSMA5,1.0427,-2.3643,,0.28441,,,,,-0.41226,-2.7092,,-4.687,,,,0.18451,,-0.63595,0.068626,-4.2482
TUBB,,-3.4229,,-2.878,,,,,2.1283,-3.9561,,-1.2708,,,,-0.37406,,-0.58026,-0.78544,-3.2114
FARSA,-0.63626,,,-4.2975,,,,,-0.99156,,,-4.3404,,,,,,-2.1293,,-5.8211
ATP2A2,,,,2.1764,,,,,1.0255,,,-4.155,,,,,,-1.0661,,-6.3305
POLR2E,0.83615,,,1.1754,-0.68344,,-1.1987,-0.50693,2.4315,,0.5177,-3.558,-2.084,-0.095293,-0.90566,,-0.92993,-0.34476,,-5.9299
PCNA,,,0.21961,-0.28394,-0.03144,0.81985,-2.4754,-0.62569,0.29306,,0.45931,-4.0684,-2.862,-0.75437,-2.062,,-2.8874,-1.7217,,-6.6817
RTCB,0.4773,,,0.47172,,,,,1.2122,,,-2.2431,,,,,,,,-6.5777
NARS1,1.2648,-3.0746,,-0.28703,,,,,2.3843,-3.0722,,-3.959,,,,-0.24785,,-0.6609,0.36458,-8.7007
SMC2,-0.75855,,,0.67701,,,,,0.31299,,,-1.7972,,,,,,,,-7.0499
RCC1,1.1399,,,0.402,0.20946,,-0.3742,-0.1494,2.1744,,0.26219,-2.8926,-1.3991,0.068007,-0.48087,,-0.29457,-0.98173,,-5.5514
CDC16,0.60441,,,-0.63224,0.086075,,-0.91333,-0.8099,2.4266,,0.19033,-3.3553,-1.634,0.18555,-0.87227,,-0.98898,-1.0775,,-3.0453
SPOUT1,-0.58297,,,-0.59247,,,,,1.4085,,,-3.4412,,,,,,0.42736,,-6.1758
TCP1,-0.15678,,,-1.2133,,,,,0.58157,,,-3.7161,,,,,,0.55808,,-4.6118
NUP205,0.22523,,,-0.37834,,,,,-0.46365,,,-2.8866,,,,,,1.2217,,-2.7542
PSMA7,-1.3489,,,0.4715,-0.37586,,-1.1891,-0.24778,0.42562,,0.45834,-4.465,-1.8027,0.27811,-1.6802,,-1.9988,1.8669,,-7.9493
NCBP1,-0.066028,,,-1.0531,,,,,0.32,,,-1.9709,,,,,,-0.61592,,-3.5245
DHX15,-0.91947,,,0.89169,-1.3754,,-1.2532,-0.52157,-2.6337,,-0.13688,-3.1085,-3.7438,0.16546,-1.6068,,-2.3089,1.9388,,-6.3923
VHL,-1.5199,,,-0.18093,,,,,0.19723,,,-1.7771,,,,,,0.19302,,-3.4742
HSPA9,-0.22635,,,1.654,,,,,-0.21763,,,-2.7006,,,,,,2.5427,,-8.72
RPL38,-0.4153,-2.6869,,-1.305,,,,,0.48767,-1.8626,,-1.7676,,,,-0.2308,,-1.6481,0.37254,-2.8139
UBA2,-0.49343,-2.4008,,-1.9363,,,,,0.29902,-2.3996,,-1.0554,,,,0.091944,,-0.9988,0.25112,-4.3539
TBCA,-0.096549,,,-0.58723,,,,,-0.89299,,,-1.6906,,,,,,-3.4465,,-4.3845
SEC61A1,0.12499,-2.3546,,-1.2316,,,,,-0.62824,-1.9584,,-2.1662,,,,0.03262,,0.69995,-0.010455,-4.8683
ARFRP1,-1.2898,-2.6769,,1.1416,,,,,0.26828,-2.0572,,-1.7952,,,,0.015757,,-0.20701,0.35278,-5.8465
XRCC3,1.6431,-2.046,,-0.47551,-1.8916,,-1.5664,-0.53238,1.4209,-2.5644,0.098606,-1.314,-3.3017,-0.4221,-0.75269,-0.068406,-1.6822,-0.27311,0.03298,-2.2202
SUPT16H,1.4182,-2.6334,,-0.095289,,,,,0.8888,-3.0739,,-4.2952,,,,-0.084963,,-1.8743,-0.10507,-3.3123
GPI,-1.7825,-0.48372,,1.7805,,,,,-1.0497,-0.40302,,-2.1865,,,,0.022885,,-1.1896,0.25306,-0.82007
PDPK1,0.61695,-1.9966,,0.20984,,,,,0.7218,-2.14,,-1.4223,,,,-0.16193,,-0.16909,0.064504,-3.4489
SBDS,0.39097,,,-0.50736,,,,,0.97514,,,-3.5529,,,,,,-0.62859,,-4.7772
NUTF2,1.5146,,,0.67204,,,,,2.3655,,,-3.3795,,,,,,-1.8101,,-6.9354
NDOR1,-0.80384,,,1.1035,,,,,3.2352,,,-0.94361,,,,,,0.99567,,-7.1728
RPS3,0.24508,,,-0.25653,,,,,1.4832,,,-3.5419,,,,,,-2.1694,,-4.3999
PSMB7,-0.63772,,,-0.66247,,,,,,,,-6.0647,,,,,,,,-8.1411
CHORDC1,-1.4093,,,-0.047799,,,,,1.3325,,,-2.6703,,,,,,-0.94982,,-3.8234
RAC1,0.28288,,,-0.27401,,,,,1.7937,,,-2.8061,,,,,,-1.0997,,-2.938
RPL36,,,,1.4031,,,,,0.7276,,,-2.2926,,,,,,-1.9755,,-2.2342
MTOR,-0.52526,,,0.60618,,,,,2.1337,,,-3.0106,,,,,,0.61709,,-6.0868
SRBD1,1.2222,,,0.58187,,,,,3.5022,,,-2.3724,,,,,,0.62438,,-3.9317
TTC27,1.2723,,,-3.2136,,,,,-0.51498,,,-2.1786,,,,,,-0.35798,,-2.8629
RPL18,,-4.0464,,0.41381,,,,,0.78381,-4.0781,,-2.3414,,,,-0.097304,,-2.0158,0.59464,-3.2138
CCT5,1.6642,-2.9833,,0.63765,,,,,0.83979,-2.7053,,-3.0095,,,,0.028633,,-0.79999,0.34176,-4.8497
NUP214,-0.26528,,,0.80784,,,,,-0.3825,,,-2.3696,,,,,,0.50005,,-3.4426
THOC2,0.52805,,,-0.39535,,,,,-0.056598,,,-3.7754,,,,,,0.6112,,-3.8544
ALDOA,2.4547,,,0.060244,,,,,1.6332,,,-5.2393,,,,,,0.50012,,-4.6543
CDC45,-0.34792,,,1.4176,,,,,1.9893,,,-4.0453,,,,,,-0.25058,,-5.7325
CCT8,-0.48192,,,1.3659,,,,,-0.27263,,,-2.641,,,,,,0.3626,,-4.8202
CTC1,-0.30553,,,1.3201,,,,,2.8996,,,-2.3803,,,,,,-0.49385,,-3.8656
UTP15,2.4201,,,-1.1403e-05,,,,,1.5618,,,-2.6888,,,,,,0.59908,,-3.1913
TRAPPC8,0.014339,,,0.46372,,,,,1.2838,,,-4.1815,,,,,,-0.21883,,-3.9099
PSMD6,-0.27345,,,0.2962,,,,,0.77453,,,-1.2254,,,,,,0.35407,,-3.1641
POP7,0.58967,,,-0.43711,,,,,1.8493,,,-2.6595,,,,,,-1.7077,,-2.771
RPL3,-0.11546,,,-0.33569,,,,,1.1033,,,-2.8603,,,,,,0.41745,,-5.396
PSMG3,-1.1877,,,-0.90165,-0.20064,,-1.8132,0.18518,0.70282,,0.20496,-3.0036,-2.4117,-0.19736,-1.9166,,-1.9507,-0.46675,,-4.6401
